name,grade,climb_angle,climb_style,description
The Ninth,7,overhanging,face,Stand start just left of the arete. Climb up on good holds and move right into the arete. A few big moves to good holds will get you to an easier top out. The crux is probably the hike up.
John Bachar Memorial Problem,1,slab,technical,A freeing highball warmup.  Start where the slab of White Slab meets the rock plate and begin up and right.  Near the curving arete commit to the crux to enjoy a pleasant and calm topout.   Originally named 'John Bachar Memorial Slab Problem' as a play on the JBMFP in J Tree.
Timothy Leary Presents...,2,vertical,face,The classic Hive problem.  Climb the obvious streak-hueco ladder then blindly reach to another hueco jug at the top to summit.  Sometimes done with a jump start from the small neighboring rock into the lowest long hueco.  Relatively poor and sloping landing.
North Face Direct,2,overhanging,steep,"This is right side of the awesome playground of giant huecos on the steep side of Grandma Peabody. Swing around on massive, perfect jugs until the boulder starts to roll back to slabby terrain, then downclimb or continue boldly to the top."
Go Granny Go,5,overhanging,steep,"This classic problem lies on the right side of the northwest face of Grandma Peabody. Sit start about eight feet left of the West Corner problem. Crimp up thin golden patina edges to some incut rails that lead up and right. From the end of the rails, move straight up to the crescent moon shaped hold above (either sidepull or gaston) and make a big reach up to jugs (crux). Continue up and right on big holds to a pair of jugs about eleven feet up (same finishing holds as the West Corner.) Drop off from here. It may be possible to top out by continuing ten more feet up the juggy rails, then rocking onto the grainy slab above. This finish may or may not have been done. (V? R/X)"
Go Granny Go  Right Finish (V5),5,overhanging,steep,"Sit start (same as Go Granny Go) at a good flake and climb up and right to good holds, and then further right to the arete. Continue up to the good incuts at about 10 feet. Climb down or drop off."
Magnetic North,8,overhanging,technical,"This has got to be one of the classiest lines in Bishop, climbing the pristine north face of the boulder. You could say it's contrived, but only because it's possible to go straight up the jugs to the left from the start. Once you're on the problem, it's as independent a line as any. This one starts on jugs to the left of Center Direct and traverses right via the 'finishing jug' of that problem to a series of edges and crimps midway up the wall. The crux is just high enough to get one's attention and involves a technical heel hook and a committing lock-off from a small crimp. The next few moves leading to the patina jugs are easier but still require some power. Tiptoe carefully up the slab above; you'll be soloing at this point. There are a couple of options. It's probably easiest starting a little further left from the uppermost patina, but you can more or less go straight up from where you finish the problem as well. Either way is a bit bold, but there are just enough positive smears to make it reasonable though insecure. Amazing! You can also climb into this line via Center Direct or, if you're really pulling hard, Direction."
Mystery,12,overhanging,traverse,Awesome line starting down and center on the face with the amphitheater. Sit start and traverse right on thin edges with some interesting footwork and link up with the top of Go Granny Ho. Super cool moves!
Direction,13,vertical,face,"Sit start the same as for Center Direct, instead of heading out left, head straight up to link up with The North Face."
Advanced Rockcraft Arete,0,slab,face,"For many, this is the perfect highball. Located on the iconic Grandpa Peabody Boulder, the physical crux is, for most, pulling onto Grandpa from a smaller boulder. The mental crux for many is the last pull over on to the top. After getting established on Grandpa, traverse right and then shoot up via immaculate crimps. Incredible!"
Footprints,9,slab,dyno,"Stand start at the lowest good holds. Climb up and left onto some sharp crimps / holds. Dyno to the big crumbling jug out left. Make a few more hard and reachy moves to get established onto the slab. Keep climbing up the slab to the top.Once you get established on the slab, the difficulty IMO is about 5.9ish. Most of the hands and feet are good, except for about 10-15 feet below the lip after a flake jug. The hands are slopey crimps and you have to stand up on less than ideal feet reaching for not so great hands. Fun.  Oh, don't fall."
Evilution to the Lip,10,overhanging,steep,"Stand start on the pile of rocks nd reach up high to a good left hand incut crimp and a flat and slopey right hand crimp. Pull onto the wall and fire off a big intro move. This is the crux move, so latch it good and pt on the game face. Move in lefty before going up right hand agin. Once here, continue moving up and leftwards on increasing sized holds. Once on the good sidepull flake continue up and traverse the lip rightwards utilizing a good right hand undercling. Grab a sloper jug then jump down onto a double stack of pads."
Ambrosia,11,overhanging,steep,"The stupid high gently overhanging face with the beautiful black streak on the Grandpa. Yeah so it's a boulder problem! V11 to the halfway point, then it supposedly eases up to V7 and then 5.12a    Enjoy!"
Evilution,12,overhanging,steep,"This landmark problem was first climbed by Jason Kehl, and stands as a North American classic.  At 55 feet, it is closer to a route than a boulder problem, and represents a new breed of boulder problems pushing the envelope of highball bouldering.  The initial face was first ascended by Chris Sharma around the same time that he did 'The Mandala'.  Originally, Chris simply dropped off from the lip holds at 20+ feet (most people down climb a bit before dropping).  The initial face features steep patina crimps on immaculate rock streaked with yellow lichen.  The drop-off problem is a classic in its own right and checks in at V9/10.    Jasons visionary line pulls the thin lip moves above the drop-off problem and continues onto an insecure 5.11 slab.  The upper crux is purportedly V9.  Since Jasons ascent, a variation has been established that takes are rightward exit that has easier moves, but on less than solid rock."
Lucid Dreaming,15,overhanging,dyno,"Sit-start to Rastaman Vibration. Start on a decent edge, move up to a shark tooth undercling/sidepull and a poor edge then make a big deadpoint to the start pinch on rastaman vibration and finish as for that problem. Extremely difficult"
Birthday Direct,3,vertical,technical,"Stand-start matched on a crimp and make a reach up to a high right-hand gaston.  Climb straight up with another gaston to a perfect jug on the lip.  Balancy, technical, and fun."
South Roof Crack,3,vertical,crack,"This is a roof crack formed by the two birthday boulders. Crawl in between them and sit start at a hand/hand stack or fist jams, depending on your hand size. Climb out towards the parking area, eventually getting established in a flaring chimney and continuing to the top."
Bard Route,6,vertical,face,"This is an engaging and worthwhile endeavor for those with thick skin. Begin with any combination of holds at head level. Don't worry, all of them are bad. With difficulty and a bit of luck, climb the face."
Right Nixon Crack,0,vertical,crack,"A nice tips crack leads to a wide slot, then sweet jams to the top of a vertical face."
Dripper,4,vertical,face,"Start all the way left on the Northwest Face, a few feet to the left to the start of Knobs. Head up the Arete before going back right to join up with the topout of the other climbs. Finish the topout line."
The Knobs,5,vertical,face,"Start at good crimps about 5 feet left of High Plains Drifter / Change of Heart. Make a couple moves straight up, then throw a right heel hook on the large knob feature and then rock over to make a long reach to gain a decent right hand hold. Harder if you're short."
Change of Heart,6,overhanging,face,"Some say it is harder the HPD some say it is easier.  I think it is easier.    Same start as HPD but go straight up.  Long lock-off to good crimp, followed by pinches and a blind push to a decent sloper."
High Plains Drifter,7,overhanging,steep,"Start with sharp patina crimps and make some long pulls slightly up and right to gain a couple of slopers. Make a dynamic move off the slopes to gain better holds and an easy, but airy summit.This problem is a North American classic and a must do for the visiting boulderer.As a note of trivia, John Sherman referred to this problem as a benchmark standard for V6 in the first edition of his Hueco guide when he initially introduced the V-scale. However, Sherman was actually referring to Change of Heart, the direct line from the same start as High Plains Drifter. The guidebook at the time mixed up the two names, so most people thought HPD was actually CoH, until Dale Bard (the first ascentionist of both routes) cleared up the confusion."
Pope's Prow,6,slab,technical,"This blunt arête has shattered the egos of many suitors.  Eek your way up the polished prow by hugging the arête and using some small side pulls for the left hand.  Top it off with a adrenaline infused mantle.  A sit down start has been done (F.A. Randy Puro) and checks in at V8.      Originally named for local hardman Mike Pope, although he claims he never climbed it.  This problem is a real Bishop gem and should be attempted by any visiting climber; it is considered a proud send despite its rather meager grade.  Consider that it was given 5.10+ in the old guide."
Butterfinger,11,overhanging,steep,Start a few feet to the left of the start for Mandala. Head straight up.
The Mandala,12,overhanging,steep,"This world renown problem was first climbed by Chris Sharma in the Spring of 2000, and fittingly, it represents the litmus test for the boulderer of the new millennium.  The problem was originally a project tried by many strong climbers of the last decade or so, and it now stands as rite of passage for the new generation of boulderers.      As a few holds have broken since Sharmas ascent, the climb has become a tad harder and a new sequence has been developed.  In the fall of 2002, during the Petzl Roc Trip, Tony Lamiche grabbed the coveted first ascent of the sit down start (dubbed The Mandalion,) that checks in at V13/14, making it one of the harder testpieces in Bishop."
Pain Grain (Stand),5,overhanging,steep,The original Pain Grain. Pull from an excellent jug rail and undercling to a high crimp and work your way over the bulge to a hidden crimp and an easy top out.     Sit start from low hueco dish is a V7 (full value).
Lactose Intolerant,5,vertical,face,"Destined to become classic, this is possibly the best moderate on the 'Cave Boulder'.  Start standing at a flake to the left of 'The Buttermilker' and follow the seam up to join the top-out of 'The Buttermilker'.      Power yields to a slotting adventure.  Don't gum up the holds of 'The Buttermilker' with your shoe rubber..."
Cave Route,6,overhanging,steep,Takes the obvious line on the north side of the Cave Boulder.    Start low and make easy moves to a good hold.   Either make a long reach or make a difficult sequence up to a large sidepull/pocket.   Pull over onto the slab and finish easily.
Pain Grain SDS,7,overhanging,steep,"Sit-start on holds atop the large scoop feature.  Work up and left on small holds and toe/heel hooks to the massive, sharp jug start hold of Pain Grain stand-start.  Continue up on sharp holds to the cruxy topout.  The sit is so much better than the stand, if you can do the moves just go for the sit.    Stand-start is v5"
Little Forgotten,10,overhanging,steep,"Stand start matched underclinging a large hueco feature as for ""Moonraker"". Pull on to the wall and move up to some slopey holds on smooth quartz monzonite and utilize a variety of heelhooks, body tension, and a kneebar or two. Trend leftwards with a hard foot stab and a hard match on a hueco's rib before climbing up and topping out as for ""The Buttermilker"".     This problem offers some relief from the classic Buttermilk death-grip crimps and revolves around compression moves on bigger holds."
Buttermilker,13,overhanging,technical,Utter perfection. This problem is a thing of pure beauty. Super hard! Start seated matched on a good sidepull and trend right through amazing slopey compression moves requiring sustained strong body tension and cool careful footwork. There are crystals available for those who prefer microcrimps to slopers.    Featured in Dosage Vol. 1 and there are now numerous ascent videos on the web.
Robinson's Rubber Tester,0,slab,technical,"Delicate slab moves up exquisite rock make this a must for the grade.    The climbing isn't hard, but the moves keep you honest all the way up the easy angled slab."
Soul Slinger Right,8,vertical,technical,"Start as for Soul Slinger, but move up and right, eventually gaining the large hueco.  The use of a left hand sloper and some small feet should help.  Pretty cool."
Soul Slinger,9,overhanging,dyno,"Tommy Klinefelter is responsible for establishing this perfect arête problem.  Start on innocuous incut flakes and make a long pull up to the insecure holds above.  Continue clinging for dear life, and finish by lunging out left to an obvious teacup pocket at the lip.      This often photographed line is one of the most aesthetic problems at the milks."
Good Morning Sunshine,1,slab,technical,"The perfect morning warmup.    Climb up the steep slab using crimps, side-pulls and high-steps to an exciting crux up high."
Green Wall Essential,2,slab,technical,"Technical crimps and polished foot holds are the name of the game for the start.   After a couple of great moves, larger holds are reached, from which the top is easily gained."
East Rib,3,slab,technical,"Start with angling crimpers on the east side.     The crux comes in the first couple moves, but hold onto your hat, the mental crux is just below the top out."
Green Wall Center,6,vertical,technical,Start low with two opposing sidepulls. Good footwork on slippery feet will lead you to a right high step and a long reach to a vertical slot. Continue straight up and finish in a jug.
Roadside Highball,3,vertical,face,Climb the center of the tall face that faces the road. Getting off the ground and gaining the top may be tricky.
Marsha's Scoop (AKA Marsha's Nipple),5,vertical,technical,Originally called V7 it was downgraded after several ascents but feels way stout till you find the right sequence. Still probably V7 on a hot day....   Climb the small scoop up the center to a slopey topout. Start standing with a terrible nipple/crimp for the left hand and the right hand on one of several options. Getting off the ground is tough. The topout is not as easy as you might hope. Great little climb that deserves to see more action.
Bowling Pin,4,overhanging,steep,This brilliant problem starts up the steep north face using side pulls and underclings.   The crux is reached when a couple small crimps allow access to a good sloping sidepull out left.    Pull around this onto the slab and up to the top.
Bowling Pin Sit,6,overhanging,steep,No text - use the 'Improve This Page' link to add something useful!
Iron Man Traverse,4,overhanging,traverse,"Climb the obvious rail from left to right.  Easy moves provide encouragement, until the rail gets smaller near the end.  Good incuts and determination help gain the sloper out on the right lip.  Match on this and swing your right foot high and complete a classic."
Iron Man Sit,4,overhanging,crack,"Start with hands matched on the rail, then bust out right through the crack. Rest up in the chimney, then finish up on Ironman."
Hero Roof,0,overhanging,steep,"One of the best warm-ups in the 'Milks.  A couple laps on this will get the blood flowing on those crisp mornings.    Sit-start low on big patina edges on the right side of the overhanging face, then work your way up and left along the lip of the roof on good jugs.  Pull over to a jug on the top."
Problem C,2,slab,technical,Make some tricky moves up the slab.   After a couple of high steps good holds are reached and the problem is done.
Monkey Dihedral,2,slab,technical,"Stem your way up the shallow scoop into the ""dihedral"" using good sidepulls, gastons and other edges.  Exit right at the top of the dihedral or continue straight up for full value."
Saigon,6,overhanging,technical,"This awesome singular prow problem on perfect rock is a 3 move wonder in between easier sections, but man, those are 3 killer moves.    Teasingly easy entry moves lead to two height-dependent crux sequences. For most taller people like myself, its a wild lean out right with the right hand to a sloper-type thingy utilizing a left heel hook. A left hand power up to a bulbous crimp sets you up for the big, flying move to a killer jug! Match and crank off a few knobs and small but positive plates up off the deck, to the blunt top out.     Other people may have to match hands on the bulbous crimp (YIKES!!) and continue.    IMO this is a height-dependent rating...    This boulder problem is sooo good, it got me psyched to get my pads out of storage!!"
Saigon Direct,8,overhanging,steep,"Though not quite as classic as Saigon, this worthy line avoids the punchy Saigon crux via a direct line of holds to the left that lead to a traverse back right into the Saigon finish. In some way it seems easier than Saigon but maybe it's because I'm short. In any case, start as for Saigon. Instead of getting the left hand pinch/sidepull and heading right, move straight up from here via a couple of possible sequences to a high pinch/edge. This is where you start to feel the air beneath you a bit. Move right from this hold with difficulty and rejoin Saigon for the finish."
Sheepherder,2,vertical,face,"Really fun climb (kind of a highball). Climb up on some good knobs and crimps into a tall, shallow groove.    Focus on footwork and make some balancey moves to top out."
Yeast,3,vertical,technical,"Climb the wall just left of a prominent black-streaked groove, beginning with nice bulbous holds, but ending with small crimps that lead extremely tenuously around a slight bulge on poor footholds.  Frightening"
The Rising,4,overhanging,face,Two different starts both go to a crimp above head-height.  Move up and left to finishing jug above bush.
Nan Bread,4,slab,technical,"Some thin crimps, balancey sidepulls and precise edging lead to better holds up high and a much more secure finish than the lines to the right."
East Side Story,3,vertical,face,"Start by leaning off an adjacent boulder, then follow a line of mostly pretty good holds up and right to a long reach way off the deck.  Technically it's a notch easier than Jedi Mind Tricks but instead of the crux being the first move, it's the last.    Great rock, cool moves and a distinct line: total classic."
Flyboy Arete,5,overhanging,technical,Start as for the Flyboy sit start and move left to the arete and up.  Crimpy and good.
Flyboy,6,overhanging,steep,"Start on the high jug and sidepull, move up on steep sidepulls and a crimp to a big move for the lip.     Try the sit-start to the left to add some spice..."
Flyboy SDS,8,overhanging,dyno,Start down and left of the stand to 'Flyboy' and head up and right on crimps to join the crux dyno of 'Flyboy'.
The Fall Guy,9,overhanging,technical,"A tall and proud new skool classic.  Stand start using small crimps.  Make a hard move up and left, then continue crimping up a steep patina headwall over a scary landing.      The landing zone has evolved from a wooden pallet to a terrace of rocks.  One of the best of its grade in Bishop."
Stained Glass,10,vertical,technical,Small polished patina crimps and slick feet lead to a big toss for the lip off a tiny left-hand crimp.      Warm your fingers up before attempting...
Haroun & the Sea of Stories,11,overhanging,technical,A low start to The Fall Guy.  Do some crazy over-the-head heel hooking to solve the linkage into the start of The Fall Guy.  Classic!    Named after a book by Salman Rushdie.
Funky Tut,3,slab,face,"Start as 'King Tut', but trend to the right after the first moves, then up via some funky, insecure moves.  A funk classic."
King Tut,3,slab,technical,This is a slightly technical and balancy problem with a commiting topout.    Start with a right-hand pinch and left hand on top of a low bulb. Move directly up through the knobs and shallow scoops to the crux lip.
Milk the Milks,6,slab,face,"Sit start down right, with hands on the two lower crimps.   Pull up and make a hard reach up and left to a good crimp on the rail / lip.   Move left along the rail and when possible move straight up pulling past a couple of small slopers."
Yayoi Right,7,slab,technical,Technical and insecure climbing with bad feet on a vertical face.    Stand-start on a left-hand incut and a tiny right-hand sidepull.  Work up and right on a series of right-facing sidepulls/gastons and terrible footholds to a short horizontal rail just below the top.  A stout mantle will finish you off.      There's also a direct start to the right (same difficulty).
Buttermilk Stem,1,slab,technical,A must-do for the Buttermilks visitor.    Stand-start with wide palms and make a tricky first move to get your right foot on (crux).  Stem your way up to the good fin and jugs to the easy but great top-out.    Sit-start is considered v4 and requires some creativity/funk.
Buttermilk Stem SDS,4,vertical,steep,A cool sit start to the already classic Buttermilks Stem problem. Starts matched on the juggy undercling and just pull up and press into the V1. Super fun extra couple moves
Black Dot,5,slab,face,"An excellent route with fun movement and good holds. Start by getting your hand in the big hole by doing a little jump then matching hands, get your feet high and reach left to the little black dot hold, then bump a bit higher, get your foot in the hole, and simply climb to the top."
Cheezy Brit Sit Start,7,slab,technical,"Sit start as for ""Buttermilk Stem Sit Start""  matched on an undercling jug. Pull on and move up the grainy arete using some foot trickery and some high steps and smears. Continue up the arete on vanishing sidepull slopers until you can reach high to a better sloper before finishing up a slab on buckets."
Brian's Project,8,overhanging,technical,Sit/squat start far right on an ok left hand crimp and a miserable right hand incut.  Paste your left foot on a good hold and work up the hanging arete via slopers and heel hooks.  Once you get the good left hand pinch reset your feet and make a big move to the good sloper directly above your head.  Top out from here on slopers to easy slab.  Doing just the finishing moves of this problem deserves a V4 I think.
Matt's Project Sit,9,vertical,face,Sit start as for Buttermilk Stem matched on the undercling. Move up the arete and then join Matt's Project going out right.
Buttermilk Gem,1,slab,face,"An underrated tall slab.    Make a tricky first move to get off the ground onto the slab (crux), then climb straight up just left of the arete."
Junior's Achievement,7,slab,technical,Thin face climbing on barely-there crimps leads to an awkward crux near the top. Taller folks sometimes start from the left. One of my favorite lines in Buttermilk Country!
Hobbs' Problem,2,vertical,technical,"Most will find the crux is getting off the ground on this one.    Stand-start on the sloping dishes.  Make a couple tricky moves up to the left-hand sloper, then break right to the black knob and finish in the water pocket jug."
Leary-Bard Left,5,vertical,technical,Climb the left side of the Leary Bard arete with some tricky footwork and big balls.
Leary/Bard Arete,5,vertical,technical,Work your way up the right side of the arete using thin sharp crimps and keen footwork.  Finish with a tricky and insecure slab top-out.
The Hunk,2,slab,technical,"A super classic high slab, satisfying and exciting. Tricky and technical climbing down low on small edges leads to easier, but committing moves on good holds to the top. Superb!"
Early Exit,5,slab,face,"Start sitting in the small alcove in the middle of the West face with a nice horizontal pinch for both hands. Climb up and right past underclings, then up the face using small crimps and maybe a sidepull. Top out (crux) with a long move to a couple of bulges. Awesome!!!!   This only got 2 stars in the guidebook...sad."
Upside,8,vertical,technical,Sit start at the base with a large flat edge / pinch. Make a few really fun and unique moves that takes you to a couple small sharp crimps. Now stare at the blank face and wonder what you do next? The entry moves on this problem are really good and you climb into a very powerful or technical crux section. There are a couple invisible micro crimps that can be used. There is also a 1 finger pad spike. Going out right to a gaston is probably the way for shorter folks. Taller folks can lock off hard and go straight up.
Bachar Problem Left,5,vertical,technical,Go up the left side of the south face using slick feet and holds all facing weird angles.
Pope's Problem,3,slab,face,One of the best lines anywhere.  A punchy crux right off the bat and then it backs way off (5.8-9ish).  The position and the height make for an exciting finish.  Enjoy.
Southwest Face,4,slab,face,"Stand start at the left side of the roof (Where ""Pope's Roof"" Joins). Pull up and go straight to the top."
Popes Roof,6,overhanging,steep,"This pulls the obvious roof on the SW Face, then follows the Southwest Face route to the top."
Smooth Shrimp,6,overhanging,traverse,Start on Perfectly Chicken. Traverse low left all the way to top out at the top of the Flakes.
Bubba Gump,10,overhanging,steep,"Sit-start low right on a sidepull flake.  Make a couple of moves to gain the slopey crimps, move to an ok incut left hand, top out on nice holds."
The Womb (Birthing Experience),1,overhanging,technical,"A fun and silly little party trick; lowball for the 'Milks.    Start lying down (fetal position preferred) in the womb alcove/scoop.  Without dabbing or pulling a back muscle, contort your body in such a way that allows you to reach the big incut way up and out to the left, then finish on good holds.    Can be a good time after a few beers, blind-folded and/or barefoot."
Tubular,1,vertical,face,Start on the flake and throw a hand to the square pinch. Get some solid feet and work through the slab. Finish on the bomber side pull on the arête to the right.
Sharma Traverse,10,overhanging,traverse,"Traverse the lip right to left on slopers and a big move between two edges(crux), and then top out. Super fun!"
Pinch Arete,7,vertical,mantle,Pull of the ground with difficulty using a right hand pinch and a left heel hook. Slap the lip and do a hard mantle. Surprisingly good rock!
